Series;series_category
Net bilateral aid flows from DAC donors, Austria (current US$);current US$
Net bilateral aid flows from DAC donors, Belgium (current US$);current US$
Net bilateral aid flows from DAC donors, Canada (current US$);current US$
Net bilateral aid flows from DAC donors, European Union institutions (current US$);current US$
Net bilateral aid flows from DAC donors, Switzerland (current US$);current US$
Net bilateral aid flows from DAC donors, Czechia (current US$);current US$
Net bilateral aid flows from DAC donors, Germany (current US$);current US$
Net bilateral aid flows from DAC donors, Denmark (current US$);current US$
Net bilateral aid flows from DAC donors, Spain (current US$);current US$
Net bilateral aid flows from DAC donors, Finland (current US$);current US$
Net bilateral aid flows from DAC donors, France (current US$);current US$
Net bilateral aid flows from DAC donors, United Kingdom (current US$);current US$
Net bilateral aid flows from DAC donors, Greece (current US$);current US$
Net bilateral aid flows from DAC donors, Hungary (current US$);current US$
Net bilateral aid flows from DAC donors, Ireland (current US$);current US$
Net bilateral aid flows from DAC donors, Iceland (current US$);current US$
Net bilateral aid flows from DAC donors, Italy (current US$);current US$
Net bilateral aid flows from DAC donors, Japan (current US$);current US$
Net bilateral aid flows from DAC donors, Korea, Rep. (current US$);current US$
Net bilateral aid flows from DAC donors, Luxembourg (current US$);current US$
Net bilateral aid flows from DAC donors, Netherlands (current US$);current US$
Net bilateral aid flows from DAC donors, Norway (current US$);current US$
Net bilateral aid flows from DAC donors, New Zealand (current US$);current US$
Net bilateral aid flows from DAC donors, Poland (current US$);current US$
Net bilateral aid flows from DAC donors, Portugal (current US$);current US$
Net bilateral aid flows from DAC donors, Slovak Republic (current US$);current US$
Net bilateral aid flows from DAC donors, Slovenia (current US$);current US$
Net bilateral aid flows from DAC donors, Sweden (current US$);current US$
Net bilateral aid flows from DAC donors, Total (current US$);current US$
Net bilateral aid flows from DAC donors, United States (current US$);current US$
Short-term debt (% of total reserves);% of total reserves
Short-term debt (% of exports of goods, services and primary income);% of exports of goods, services and primary income
Net official flows from UN agencies, FAO (current US$);current US$
Net official flows from UN agencies, IAEA (current US$);current US$
Net official flows from UN agencies, IFAD (current US$);current US$
Net official flows from UN agencies, ILO (current US$);current US$
Net financial flows, IBRD (NFL, current US$);NFL, current US$
Net financial flows, IDA (NFL, current US$);NFL, current US$
IFC, private nonguaranteed (NFL, US$);NFL, US$
Net official flows from UN agencies, UNAIDS (current US$);current US$
Net official flows from UN agencies, UNICEF (current US$);current US$
Net official flows from UN agencies, UNHCR (current US$);current US$
Net official flows from UN agencies, UNDP (current US$);current US$
Net official flows from UN agencies, UNFPA (current US$);current US$
Net official flows from UN agencies, UNPBF (current US$);current US$
Net official flows from UN agencies, WFP (current US$);current US$
Net official flows from UN agencies, WHO (current US$);current US$
Net official development assistance and official aid received (current US$);current US$
Net official development assistance and official aid received (constant 2021 US$);constant 2021 US$
Net official development assistance received (current US$);current US$
Net ODA received (% of gross capital formation);% of gross capital formation
Net ODA received (% of GNI);% of GNI
Net official development assistance received (constant 2021 US$);constant 2021 US$
Net ODA received (% of imports of goods, services and primary income);% of imports of goods, services and primary income
Net ODA received per capita (current US$);current US$
Total debt service (% of GNI);% of GNI
Debt service (PPG and IMF only, % of exports of goods, services and primary income);PPG and IMF only, % of exports of goods, services and primary income
Public and publicly guaranteed debt service (% of GNI);% of GNI
Public and publicly guaranteed debt service (% of exports of goods, services and primary income);% of exports of goods, services and primary income
Access to clean fuels and technologies for cooking, rural (% of rural population);% of rural population
Access to clean fuels and technologies for cooking, urban (% of urban population);% of urban population
Access to clean fuels and technologies for cooking (% of population);% of population
Electricity production from coal sources (% of total);% of total
Electricity production from oil, gas and coal sources (% of total);% of total
Electricity production from hydroelectric sources (% of total);% of total
Electric power transmission and distribution losses (% of output);% of output
Electricity production from natural gas sources (% of total);% of total
Electricity production from nuclear sources (% of total);% of total
Electricity production from oil sources (% of total);% of total
Electricity production from renewable sources, excluding hydroelectric (kWh);kWh
Electricity production from renewable sources, excluding hydroelectric (% of total);% of total
GDP per unit of energy use (PPP $ per kg of oil equivalent);PPP $ per kg of oil equivalent
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent);constant 2021 PPP $ per kg of oil equivalent
Energy imports, net (% of energy use);% of energy use
Alternative and nuclear energy (% of total energy use);% of total energy use
Fossil fuel energy consumption (% of total);% of total
Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP);kg of oil equivalent
Combustible renewables and waste (% of total energy);% of total energy
Electric power consumption (kWh per capita);kWh per capita
Energy use (kg of oil equivalent per capita);kg of oil equivalent per capita
PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);micrograms per cubic meter
PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total);% of total
Total greenhouse gas emissions including LULUCF (Mt CO2e);Mt CO2e
Methane (CH4) emissions from Agriculture (Mt CO2e);CH4
Methane (CH4) emissions from Industrial Processes (Mt CO2e);CH4
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e);CO2
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e);CO2
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e);CO2
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e);CO2
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e);CO2
Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e);CO2
Carbon dioxide (CO2) emissions from Waste (Mt CO2e);CO2
F-gases emissions from Industrial Processes (Mt CO2e);Mt CO2e
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e);N2O
Population living in slums (% of urban population);% of urban population
Population in the largest city (% of urban population);% of urban population
Population in urban agglomerations of more than 1 million (% of total population);% of total population
Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal);constant 2015 US$ GDP per cubic meter of total freshwater withdrawal
Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal);% of total freshwater withdrawal
Annual freshwater withdrawals, domestic (% of total freshwater withdrawal);% of total freshwater withdrawal
Annual freshwater withdrawals, industry (% of total freshwater withdrawal);% of total freshwater withdrawal
Annual freshwater withdrawals, total (billion cubic meters);billion cubic meters
Annual freshwater withdrawals, total (% of internal resources);% of internal resources
Renewable internal freshwater resources, total (billion cubic meters);billion cubic meters
Renewable internal freshwater resources per capita (cubic meters);cubic meters
Borrowers from commercial banks (per 1,000 adults);per 1,000 adults
Depositors with commercial banks (per 1,000 adults);per 1,000 adults
Bank liquid reserves to bank assets ratio (%);%
Total reserves (% of total external debt);% of total external debt
Net acquisition of financial assets (% of GDP);% of GDP
Net incurrence of liabilities, total (% of GDP);% of GDP
Net investment in nonfinancial assets (% of GDP);% of GDP
Net lending (+) / net borrowing (-) (% of GDP);+
Grants and other revenue (% of revenue);% of revenue
Revenue, excluding grants (% of GDP);% of GDP
Taxes on goods and services (% of revenue);% of revenue
Taxes on international trade (% of revenue);% of revenue
Other taxes (% of revenue);% of revenue
Tax revenue (% of GDP);% of GDP
Taxes on income, profits and capital gains (% of revenue);% of revenue
Compensation of employees (% of expense);% of expense
Goods and services expense (% of expense);% of expense
Interest payments (% of revenue);% of revenue
Interest payments (% of expense);% of expense
Other expense (% of expense);% of expense
Expense (% of GDP);% of GDP
Subsidies and other transfers (% of expense);% of expense
Ease of doing business score (0 = lowest performance to 100 = best performance);0 = lowest performance to 100 = best performance
Business extent of disclosure index (0=less disclosure to 10=more disclosure);0=less disclosure to 10=more disclosure
New business density (new registrations per 1,000 people ages 15-64);new registrations per 1,000 people ages 15-64
Depth of credit information index (0=low to 8=high);0=low to 8=high
Private credit bureau coverage (% of adults);% of adults
Public credit registry coverage (% of adults);% of adults
Average time to clear exports through customs (days);days
Time required to get electricity (days);days
Cost to export, border compliance (US$);US$
Cost to export, documentary compliance (US$);US$
Time to export, border compliance (hours);hours
Time to export, documentary compliance (hours);hours
Firms using banks to finance working capital (% of firms);% of firms
Firms using banks to finance investment (% of firms);% of firms
Bribery incidence (% of firms experiencing at least one bribe payment request);% of firms experiencing at least one bribe payment request
Firms competing against unregistered firms (% of firms);% of firms
Informal payments to public officials (% of firms);% of firms
Losses due to theft and vandalism (% of annual sales for affected firms);% of annual sales for affected firms
Time required to obtain an operating license (days);days
Firms with female top manager (% of firms);% of firms
Firms with female participation in ownership (% of firms);% of firms
Firms formally registered when operations started (% of firms);% of firms
Firms visited or required meetings with tax officials (% of firms);% of firms
Firms that spend on R&D (% of firms);% of firms
Firms experiencing losses due to theft and vandalism (% of firms);% of firms
Firms offering formal training (% of firms);% of firms
Time spent dealing with the requirements of government regulations (% of senior management time);% of senior management time
Cost to import, border compliance (US$);US$
Cost to import, documentary compliance (US$);US$
Time to import, border compliance (hours);hours
Time to import, documentary compliance (hours);hours
Time to resolve insolvency (years);years
Strength of legal rights index (0=weak to 12=strong);0=weak to 12=strong
Time required to enforce a contract (days);days
Time required to register property (days);days
Procedures to register property (number);number
Cost of business start-up procedures, female (% of GNI per capita);% of GNI per capita
Cost of business start-up procedures, male (% of GNI per capita);% of GNI per capita
Cost of business start-up procedures (% of GNI per capita);% of GNI per capita
Time required to start a business (days);days
Time required to start a business, female (days);days
Time required to start a business, male (days);days
Start-up procedures to register a business (number);number
Start-up procedures to register a business, female (number);number
Start-up procedures to register a business, male (number);number
Time to prepare and pay taxes (hours);hours
Firms expected to give gifts in meetings with tax officials (% of firms);% of firms
Labor tax and contributions (% of commercial profits);% of commercial profits
Number of visits or required meetings with tax officials (average for affected firms);average for affected firms
Other taxes payable by businesses (% of commercial profits);% of commercial profits
Tax payments (number);number
Profit tax (% of commercial profits);% of commercial profits
Total tax and contribution rate (% of profit);% of profit
Time required to build a warehouse (days);days
Procedures to build a warehouse (number);number
Scientific and technical journal articles;
CPIA business regulatory environment rating (1=low to 6=high);1=low to 6=high
CPIA debt policy rating (1=low to 6=high);1=low to 6=high
CPIA economic management cluster average (1=low to 6=high);1=low to 6=high
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high);1=low to 6=high
CPIA quality of budgetary and financial management rating (1=low to 6=high);1=low to 6=high
CPIA financial sector rating (1=low to 6=high);1=low to 6=high
CPIA fiscal policy rating (1=low to 6=high);1=low to 6=high
CPIA gender equality rating (1=low to 6=high);1=low to 6=high
CPIA building human resources rating (1=low to 6=high);1=low to 6=high
IDA resource allocation index (1=low to 6=high);1=low to 6=high
CPIA macroeconomic management rating (1=low to 6=high);1=low to 6=high
CPIA quality of public administration rating (1=low to 6=high);1=low to 6=high
CPIA equity of public resource use rating (1=low to 6=high);1=low to 6=high
CPIA property rights and rule-based governance rating (1=low to 6=high);1=low to 6=high
CPIA social protection rating (1=low to 6=high);1=low to 6=high
CPIA public sector management and institutions cluster average (1=low to 6=high);1=low to 6=high
CPIA efficiency of revenue mobilization rating (1=low to 6=high);1=low to 6=high
CPIA policies for social inclusion/equity cluster average (1=low to 6=high);1=low to 6=high
CPIA structural policies cluster average (1=low to 6=high);1=low to 6=high
CPIA trade rating (1=low to 6=high);1=low to 6=high
CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high);1=low to 6=high
Air transport, freight (million ton-km);million ton-km
Individuals using the Internet, female (% of female population);% of female population
Individuals using the Internet, male (% of male population);% of male population
Lead time to export, median case (days);days
Lead time to import, median case (days);days
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high);1=low to 5=high
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high);1=low to 5=high
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high);1=low to 5=high
Logistics performance index: Competence and quality of logistics services (1=low to 5=high);1=low to 5=high
Logistics performance index: Overall (1=low to 5=high);1=low to 5=high
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high);1=low to 5=high
Logistics performance index: Ability to track and trace consignments (1=low to 5=high);1=low to 5=high
Arms imports (SIPRI trend indicator values);SIPRI trend indicator values
Armed forces personnel, total;
Armed forces personnel (% of total labor force);% of total labor force
Military expenditure (current USD);current USD
Military expenditure (% of GDP);% of GDP
Military expenditure (% of general government expenditure);% of general government expenditure
General government final consumption expenditure (annual % growth);annual % growth
Households and NPISHs Final consumption expenditure (annual % growth);annual % growth
Households and NPISHs Final consumption expenditure per capita growth (annual %);annual %
Final consumption expenditure (annual % growth);annual % growth
Exports of goods and services (annual % growth);annual % growth
Gross fixed capital formation, private sector (% of GDP);% of GDP
Gross fixed capital formation (current US$);current US$
Gross fixed capital formation (constant 2015 US$);constant 2015 US$
Gross fixed capital formation (annual % growth);annual % growth
Gross fixed capital formation (% of GDP);% of GDP
Gross capital formation (annual % growth);annual % growth
Imports of goods and services (annual % growth);annual % growth
Agriculture, forestry, and fishing, value added per worker (constant 2015 US$);constant 2015 US$
Agriculture, forestry, and fishing, value added (annual % growth);annual % growth
Industry (including construction), value added per worker (constant 2015 US$);including construction
Manufacturing, value added (annual % growth);annual % growth
Industry (including construction), value added (annual % growth);including construction
Services, value added per worker (constant 2015 US$);constant 2015 US$
Services, value added (annual % growth);annual % growth
Adjusted savings: particulate emission damage (% of GNI);% of GNI
Adjusted net national income (annual % growth);annual % growth
Adjusted net national income per capita (annual % growth);annual % growth
Adjusted net savings, including particulate emission damage (% of GNI);% of GNI
GNI growth (annual %);annual %
GNI per capita growth (annual %);annual %
School enrollment, primary and secondary (gross), gender parity index (GPI);gross
School enrollment, secondary (gross), gender parity index (GPI);gross
Trained teachers in preprimary education, female (% of female teachers);% of female teachers
Trained teachers in preprimary education, male (% of male teachers);% of male teachers
Trained teachers in preprimary education (% of total teachers);% of total teachers
Trained teachers in primary education, female (% of female teachers);% of female teachers
Trained teachers in primary education, male (% of male teachers);% of male teachers
Trained teachers in primary education (% of total teachers);% of total teachers
School enrollment, secondary, private (% of total secondary);% of total secondary
Trained teachers in secondary education, female (% of female teachers);% of female teachers
Trained teachers in secondary education, male (% of male teachers);% of male teachers
Trained teachers in secondary education (% of total teachers);% of total teachers
Secondary education, teachers, female;
Secondary education, teachers (% female);% female
Proportion of seats held by women in national parliaments (%);%
Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age);liters of pure alcohol, projected estimates, female 15+ years of age
Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age);liters of pure alcohol, projected estimates, 15+ years of age
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age);liters of pure alcohol, projected estimates, male 15+ years of age
Prevalence of anemia among women of reproductive age (% of women ages 15-49);% of women ages 15-49
Prevalence of anemia among children (% of children ages 6-59 months);% of children ages 6-59 months
Prevalence of anemia among non-pregnant women (% of women ages 15-49);% of women ages 15-49
Number of deaths ages 5-9 years;
Number of deaths ages 10-14 years;
Number of deaths ages 15-19 years;
Number of deaths ages 20-24 years;
Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total);% of total
Number of infant deaths;
Cause of death, by injury (% of total);% of total
Number of under-five deaths;
Cause of death, by non-communicable diseases (% of total);% of total
Number of neonatal deaths;
Probability of dying among children ages 5-9 years (per 1,000);per 1,000
Probability of dying among adolescents ages 10-14 years (per 1,000);per 1,000
Probability of dying among adolescents ages 15-19 years (per 1,000);per 1,000
Probability of dying among youth ages 20-24 years (per 1,000);per 1,000
Women's share of population ages 15+ living with HIV (%);%
Prevalence of HIV, total (% of population ages 15-49);% of population ages 15-49
Mortality rate, under-5 (per 1,000 live births);per 1,000 live births
Mortality rate, under-5, female (per 1,000 live births);per 1,000 live births
Mortality rate, under-5, male (per 1,000 live births);per 1,000 live births
Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%);%
Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%);%
Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%);%
Mortality rate, neonatal (per 1,000 live births);per 1,000 live births
People using at least basic drinking water services, rural (% of rural population);% of rural population
People using at least basic drinking water services, urban (% of urban population);% of urban population
People using safely managed drinking water services, urban (% of urban population);% of urban population
Prevalence of HIV, female (% ages 15-24);% ages 15-24
Prevalence of HIV, male (% ages 15-24);% ages 15-24
Antiretroviral therapy coverage (% of people living with HIV);% of people living with HIV
Incidence of HIV, all (per 1,000 uninfected population);per 1,000 uninfected population
Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24);per 1,000 uninfected population ages 15-24
Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49);per 1,000 uninfected population ages 15-49
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV);% of pregnant women living with HIV
Immunization, HepB3 (% of one-year-old children);% of one-year-old children
Immunization, DPT (% of children ages 12-23 months);% of children ages 12-23 months
Immunization, measles (% of children ages 12-23 months);% of children ages 12-23 months
Nurses and midwives (per 1,000 people);per 1,000 people
Physicians (per 1,000 people);per 1,000 people
Specialist surgical workforce (per 100,000 population);per 100,000 population
Incidence of malaria (per 1,000 population at risk);per 1,000 population at risk
Children with fever receiving antimalarial drugs (% of children under age 5 with fever);% of children under age 5 with fever
Number of maternal deaths;
Lifetime risk of maternal death (1 in: rate varies by country);1 in: rate varies by country
Lifetime risk of maternal death (%);%
Prevalence of anemia among pregnant women (%);%
Prevalence of current tobacco use (% of adults);% of adults
Prevalence of current tobacco use, females (% of female adults);% of female adults
Prevalence of current tobacco use, males (% of male adults);% of male adults
Risk of catastrophic expenditure for surgical care (% of people at risk);% of people at risk
Risk of impoverishing expenditure for surgical care (% of people at risk);% of people at risk
Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population);per 100,000 female population
Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population);per 100,000 male population
Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population);per 100,000 population
Pregnant women receiving prenatal care (%);%
People using at least basic sanitation services, rural (% of rural population);% of rural population
People using at least basic sanitation services, urban (% of urban population);% of urban population
Exclusive breastfeeding (% of children under 6 months);% of children under 6 months
Births attended by skilled health staff (% of total);% of total
People with basic handwashing facilities including soap and water, rural (% of rural population);% of rural population
People with basic handwashing facilities including soap and water, urban (% of urban population);% of urban population
People with basic handwashing facilities including soap and water (% of population);% of population
Maternal mortality ratio (modeled estimate, per 100,000 live births);modeled estimate, per 100,000 live births
People practicing open defecation, rural (% of rural population);% of rural population
People practicing open defecation, urban (% of urban population);% of urban population
Prevalence of overweight (modeled estimate, % of children under 5);modeled estimate, % of children under 5
Mortality rate attributed to unintentional poisoning (per 100,000 population);per 100,000 population
Mortality rate attributed to unintentional poisoning, female (per 100,000 female population);per 100,000 female population
Mortality rate attributed to unintentional poisoning, male (per 100,000 male population);per 100,000 male population
People using safely managed sanitation services, rural (% of rural population);% of rural population
People using safely managed sanitation services, urban (% of urban population);% of urban population
People using safely managed sanitation services (% of population);% of population
Prevalence of stunting, height for age (modeled estimate, % of children under 5);modeled estimate, % of children under 5
Suicide mortality rate, female (per 100,000 female population);per 100,000 female population
Suicide mortality rate, male (per 100,000 male population);per 100,000 male population
Suicide mortality rate (per 100,000 population);per 100,000 population
Mortality caused by road traffic injury (per 100,000 population);per 100,000 population
Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population);per 100,000 population
Newborns protected against tetanus (%);%
Current health expenditure (% of GDP);% of GDP
Current health expenditure per capita (current US$);current US$
Current health expenditure per capita, PPP (current international $);current international $
External health expenditure (% of current health expenditure);% of current health expenditure
External health expenditure per capita (current US$);current US$
External health expenditure per capita, PPP (current international $);current international $
Domestic general government health expenditure (% of current health expenditure);% of current health expenditure
Domestic general government health expenditure (% of GDP);% of GDP
Domestic general government health expenditure (% of general government expenditure);% of general government expenditure
Domestic general government health expenditure per capita (current US$);current US$
Domestic general government health expenditure per capita, PPP (current international $);current international $
Out-of-pocket expenditure (% of current health expenditure);% of current health expenditure
Out-of-pocket expenditure per capita (current US$);current US$
Out-of-pocket expenditure per capita, PPP (current international $);current international $
Domestic private health expenditure (% of current health expenditure);% of current health expenditure
Domestic private health expenditure per capita (current US$);current US$
Domestic private health expenditure per capita, PPP (current international $);current international $
Employment in agriculture, female (% of female employment) (modeled ILO estimate);% of female employment
Employment in agriculture, male (% of male employment) (modeled ILO estimate);% of male employment
Employment in agriculture (% of total employment) (modeled ILO estimate);% of total employment
Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate);%
Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate);%
Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate);%
Employers, female (% of female employment) (modeled ILO estimate);% of female employment
Employers, male (% of male employment) (modeled ILO estimate);% of male employment
Employers, total (% of total employment) (modeled ILO estimate);% of total employment
Self-employed, female (% of female employment) (modeled ILO estimate);% of female employment
Self-employed, male (% of male employment) (modeled ILO estimate);% of male employment
Self-employed, total (% of total employment) (modeled ILO estimate);% of total employment
Employment to population ratio, 15+, female (%) (modeled ILO estimate);%
Employment to population ratio, 15+, male (%) (modeled ILO estimate);%
Employment to population ratio, 15+, total (%) (modeled ILO estimate);%
Vulnerable employment, female (% of female employment) (modeled ILO estimate);% of female employment
Vulnerable employment, male (% of male employment) (modeled ILO estimate);% of male employment
Vulnerable employment, total (% of total employment) (modeled ILO estimate);% of total employment
Wage and salaried workers, female (% of female employment) (modeled ILO estimate);% of female employment
Wage and salaried workers, male (% of male employment) (modeled ILO estimate);% of male employment
Wage and salaried workers, total (% of total employment) (modeled ILO estimate);% of total employment
Contributing family workers, female (% of female employment) (modeled ILO estimate);% of female employment
Contributing family workers, male (% of male employment) (modeled ILO estimate);% of male employment
Contributing family workers, total (% of total employment) (modeled ILO estimate);% of total employment
GDP per person employed (constant 2021 PPP $);constant 2021 PPP $
Employment in industry, female (% of female employment) (modeled ILO estimate);% of female employment
Employment in industry, male (% of male employment) (modeled ILO estimate);% of male employment
Employment in industry (% of total employment) (modeled ILO estimate);% of total employment
Employment in services, female (% of female employment) (modeled ILO estimate);% of female employment
Employment in services, male (% of male employment) (modeled ILO estimate);% of male employment
Employment in services (% of total employment) (modeled ILO estimate);% of total employment
Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate);%
Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate);%
Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate);%
Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate);% of female population ages 15-64
Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate);% of male population ages 15-64
Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate);% of total population ages 15-64
Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);% of female population ages 15+
Ratio of female to male labor force participation rate (%) (modeled ILO estimate);%
Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate);% of male population ages 15+
Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);% of total population ages 15+
Labor force, female (% of total labor force);% of total labor force
Labor force, total;
Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate);% of female labor force ages 15-24
Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate);% of male labor force ages 15-24
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate);% of total labor force ages 15-24
Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate);% of female youth population
Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate);% of male youth population
Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate);% of youth population
Unemployment, female (% of female labor force) (modeled ILO estimate);% of female labor force
Unemployment, male (% of male labor force) (modeled ILO estimate);% of male labor force
Unemployment, total (% of total labor force) (modeled ILO estimate);% of total labor force
Refugee population by country or territory of asylum;
Refugee population by country or territory of origin;
Prevalence of undernourishment (% of population);% of population
Vitamin A supplementation coverage rate (% of children ages 6-59 months);% of children ages 6-59 months
Contraceptive prevalence, any modern method (% of married women ages 15-49);% of married women ages 15-49
Contraceptive prevalence, any method (% of married women ages 15-49);% of married women ages 15-49
Mortality rate, infant, female (per 1,000 live births);per 1,000 live births
Mortality rate, infant (per 1,000 live births);per 1,000 live births
Mortality rate, infant, male (per 1,000 live births);per 1,000 live births
Completeness of birth registration (%);%
Unmet need for contraception (% of married women ages 15-49);% of married women ages 15-49
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports);% of total merchandise imports
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports);% of total merchandise exports
Battle-related deaths (number of people);number of people
Internally displaced persons, new displacement associated with conflict and violence (number of cases);number of cases
Internally displaced persons, new displacement associated with disasters (number of cases);number of cases
Internally displaced persons, total displaced by conflict and violence (number of people);number of people
Agricultural irrigated land (% of total agricultural land);% of total agricultural land
Average precipitation in depth (mm per year);mm per year
Grants, excluding technical cooperation (BoP, current US$);BoP, current US$
Technical cooperation grants (BoP, current US$);BoP, current US$
Net bilateral aid flows from DAC donors, Estonia (current US$);current US$
Net bilateral aid flows from DAC donors, Lithuania (current US$);current US$
External debt stocks, total (DOD, current US$);DOD, current US$
External debt stocks (% of GNI);% of GNI
Use of IMF credit (DOD, current US$);DOD, current US$
External debt stocks, long-term (DOD, current US$);DOD, current US$
External debt stocks, private nonguaranteed (PNG) (DOD, current US$);PNG
External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$);PPG
External debt stocks, short-term (DOD, current US$);DOD, current US$
Short-term debt (% of total external debt);% of total external debt
PPG, IDA (DOD, current US$);DOD, current US$
IBRD loans and IDA credits (DOD, current US$);DOD, current US$
Present value of external debt (current US$);current US$
Net financial flows, bilateral (NFL, current US$);NFL, current US$
Net official flows from UN agencies, CERF (current US$);current US$
Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$);PNG
Net financial flows, IMF nonconcessional (NFL, current US$);NFL, current US$
Net financial flows, multilateral (NFL, current US$);NFL, current US$
Net financial flows, others (NFL, current US$);NFL, current US$
PPG, official creditors (NFL, US$);NFL, US$
PNG, commercial banks and other creditors (NFL, current US$);NFL, current US$
Net financial flows, RDB concessional (NFL, current US$);NFL, current US$
Net official flows from UN agencies, SDGFUND (current US$);current US$
Net official flows from UN agencies, SPRP (current US$);current US$
Net official flows from UN agencies, UNIDO (current US$);current US$
Net official flows from UN agencies, UNWOMEN (current US$);current US$
Net official flows from UN agencies, WTO-ITC (current US$);current US$
Net ODA received (% of central government expense);% of central government expense
Debt service on external debt, total (TDS, current US$);TDS, current US$
Total debt service (% of exports of goods, services and primary income);% of exports of goods, services and primary income
IMF repurchases and charges (TDS, current US$);TDS, current US$
Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$);PPG
Multilateral debt service (TDS, current US$);TDS, current US$
Multilateral debt service (% of public and publicly guaranteed debt service);% of public and publicly guaranteed debt service
PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total);% of total
PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total);% of total
PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total);% of total
Population in largest city;
Population in urban agglomerations of more than 1 million;
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources;
Bank nonperforming loans to total gross loans (%);%
Claims on other sectors of the domestic economy (annual growth as % of broad money);annual growth as % of broad money
Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+);% of population ages 15+
Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+);% of population ages 15+
Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+);% of population ages 15+
Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+);% of population ages 15+
Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+);% of population ages 25+
Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+);% of population ages 15+
Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+);% of population ages 15+
